"","participant","condition","scenario","cf_knowledge","cf_no_knowledge"
"1",1,"2","garden","Alex had remembered that Splendor harms Bourbon roses,\","they had used the original fertilizer"
"2",2,"3","bakery","Sandra hadn't used the new flour that contained walnut","Anne was told that the new flour contained hazelnuts"
"3",3,"2","garden","Alex had not used ""Splendor""","Bob had known about Nutrit being harmful"
"4",4,"1","hospital","Dr Smith had not administered Corus to the patient","Dr Jones had researched the side effects of Afibo before administering it"
"5",5,"1","hospital","Dr. Smith had not administered Corus","Dr. Jones had known about the side effects of Afibo"
"6",6,"2","garden","Alex was truly committed to his the rose , he wouldn't have used the fertilizer and ","Bob had known that the Nutrit fertilizer is harmful to the China rose, he would not have used it ,"
"7",8,"1","hospital","taken the other drug","would have taken the other drug"
"8",9,"1","hospital","If suffered mild leg cramps,Dr Smith administers Corus to that patient. The drug helps to prevent the patient’s onset of thrombosis, but the patient also suffers from mild leg cramps.","Because the drug “Afibo” has only recently been ordered, Dr Jones does not know that this drug causes mild leg cramps in patients with blood type ‘AB-positive"
"9",10,"2","garden","If Alex had not fertilized the Bourbon roses with Splendor,  the Bourbon roses would not have died. Alex should not have used the product Splendor. It would have been better not to fertilize the rose at all.","If Bob had known about the negative effect of Nutrit on the China roses, he might not have used it and the China roses would not have died. It is always good when working with plants to research everything that you use on them before hand. It would be better not to fertilize them than to put something on them that causes their death."
"10",11,"3","bakery","Sandra didn't used Harvest ","Anne did't use Homestead product "
"11",12,"2","garden","Alex had not fertilized the Bourbon roses with the fertilizer ""Splendor""","Bob had known that the new fertilizer “Nutrit” harms China roses he would not have used it and"
"12",13,"3","bakery","Sandra would have informed the customer that her flour contains traces of nuts so she cannot sell a nutfree cake to her, the customer would not have bought the cake, and would not have suffered a reaction.","The bakery manager would have informed Anne about buying Homestead flour and its possible traces of hazelnut, Anne wouldn't have used and/or sold the customer the baked goods and they wouldn't have had an allergic reaction."
"13",14,"1","hospital","If this person did not have B-negative blood type, the patient would not have suffered leg cramps. This is a known side effect for people with B-negative blood types.","If Dr. Jones had conducted more research on Afibo, then patient would not have suffered leg cramps."
"14",15,"1","hospital","the doctor hadn't given the drug to the patient","more research had been done on the drug and its side effects by the doctor or the hospital"
"15",16,"1","hospital","sorguin is giving for treatment the patient would not have suffered leg cramps.","if the doctor knows about afino about leg cramps the patient would not have suffered leg cramps."
"16",17,"3","bakery","Harvest was not used","Homestead wasn't used"
"17",18,"1","hospital","the doctor choose Sanguin ","the doctor researched the drug"
"18",19,"2","garden","Alex had avoided using the Splendor fertilizer and instead used the fertilizer he normally used, the Bourbon roses would not have died","If someone had told Bob that the fertilizer hurts this type of rose, the China roses would not have died."
"19",22,"3","bakery","Sandra had been doing her job","The flour had been labelled more clearly."
"20",26,"3","bakery","If Sandra would have warned the customer that there were traces of walnuts in it before making the order then the customer will not have had an allergic reaction because they wouldn't have ordered that product.","If Anne would have did her due diligence on the flour brand then she would have found out that there were traces of hazelnut before ordering it."
"21",27,"2","garden","Alex would have not used that fertilizer","Bob had not used that fertilizer"
"22",28,"3","bakery","Sandra listed allergens on her ingredients","Anne reviewed the ingredients to warn customers"
"23",29,"1","hospital","""If the patient did not take 'Corus' , the patient would not have suffered leg cramps""",""" If the patient did not take 'Afibo' , the patient would not have suffered leg cramps."""
"24",31,"1","hospital","If Dr. Smith had not administered Corus, the patient would not have suffered leg cramps.","If Dr. Jones had known that Afibo had side effects, he would not have administered it and the patient would not have suffered leg cramps."
"25",36,"3","bakery","If Sandra had not baked the customer a cake using that flour, the customer would not have had an allergic reaction.","If the person responsible for purchasing the basic baking ingredients had done their due diligence and had not purchased flour with traces of nuts the customer would not have had an allergic reaction."
"26",37,"2","garden","He did not use the new fertilizer","Bob would have read information about the new fertilizer"
"27",38,"1","hospital","Dr Smith had told the patient the side effects and asked their opinion on what drug they wanted","Dr Jones had done additional research on the drug"
"28",39,"3","bakery","Sanda could have used the flour that she knew did not contain traces of walnut or told the customer she could not make a cake without having allergens. ","Anne could have been more careful and researched the new flour to make sure that it was nut free. "
"29",40,"3","bakery","Sandra had used a correct flour","Anne had been more knowledgeable about her product"
"30",41,"1","hospital","If Dr. Smith wanted to prescribe the more expensive drug, the patient would not have suffered leg cramps. If Dr. Smith thought the original drug would have worked better, the patient would not have suffered leg cramps.","If the patient was prescribed the original drug, the patient would not have suffered leg cramps. If Dr. Jones was trained about the effects of the the new drug, the patient would not have suffered leg cramps."
"31",42,"1","hospital","Doctor had chosen not to give new drug and instead had given old drug","Hospital had given full detail of new drug, including its side effects, to doctors"
"32",44,"3","bakery","Sandra's boss had never replaced the old brand of flour with Harvest","Anne's boss had made his employees aware that the Homestead brand had traces of hazelnuts"
"33",46,"2","garden","Alex have a mercy in his heart, the Bourbon rose would not have died. ","Bob avoided the new fertilizer, the China rose would not have died. "
"34",47,"2","garden","the manager did ethical checks and love towards plants as a measure before recruiting Alex, the Bourbon roses would not have died.","the manager of the garden provided realtime information about the changes happening in the garden via an app the china roses would not have died."
"35",48,"3","bakery","If Sandra has used White Mill flour, which has no trace of nuts, the customer would not have had an allergic reaction.","If Ann had know that Homestead flour contained traces of hazelnuts, she could have used Green Farms flour so the customer would not have had an allergic reaction."
"36",49,"2","garden","Alex care more about everything","Bob knew about the Nutrit"
"37",50,"3","bakery","Sandra didn't use the flour","The manufacture didn't change the recipe"
"38",51,"3","bakery","""If Sandra was responsible and didn't use the Harvest flour that contained nuts, the customer ..."""," If Anne took the time to review the ingredients, but the Homestead flour didn't say anything about hazelnuts, then the sentence would be completed as ""If Homestead's label had been accurate, the customer ....""

If Anne was irresponsible and forgot to read the Homestead flour label, the the sentence would be completed as ""If Anne took the time to read the label, then the customer ..."""
"39",52,"2","garden","if Alex greed didn't get in his way ","if bob had not used the Nutrit fertilizer "
"40",53,"2","garden","Alex had used old fertilizer instead of Splendor","If botanical garden managers had told Bob everything about new fertilizer"
"41",54,"1","hospital","Dr Smith gave the patient the drug Sanguin","Dr Jones gave the patient the drug Heparine"
"42",55,"1","hospital","applied Sanguin as alternative","applied alternative but effective dug"
"43",56,"2","garden","Alex did not use the cheaper fertilizer then","Bob had researched the new fertilizer before using then"
"44",57,"3","bakery","Sandra had been more honest with the customer that the flour contained traces of walnut","Anne had shown competence by making sure the customer's health and needs were duly considered before making use of this new flour"
"45",59,"1","hospital","If I were in place of Dr. Smith, I would have advised the hospital administration about the side effect of the drug and would continue to use the previous drug or substitutes which do not have the same side effect. And the patient would not have suffered.","If I were in Dr. Jones's place I would not administer a new drug to my patient without knowing about any possible side effects. And this would have saved the patient from suffering."
"46",61,"3","bakery","Sandra would've notified the customer of the possible traces of walnut","the company would've notified Anne that the change in flour contains possible traces of hazelnuts she could've notified the customer. "
"47",64,"2","garden","If Alex would have paid more attention to what he was giving the roses, the Bourbon roses would not have died.","If Bob would have done some research on the Nutri product before applying it, the China roses would not have died."
"48",65,"1","hospital","the doctor had no prescribed the drug and used something else","the doctor had read up on the drug, he'd have known about the side effects and may not have prescribed it, ergo"
"49",66,"2","garden","Alex had not bought Splendor","Bob had died"
"50",67,"2","garden","she shouldnt have used the new fertilizer","bod dis research about the product"
"51",68,"3","bakery","Sandra used a different type of flour","Annie carefully read about all the ingredients of the flour"
"52",69,"1","hospital","dr. smith would have administered another drug instead of corus","dr. jones had administered heparine instead of abifo "
"53",70,"1","hospital","patient didn't have any symptoms","the patient was informed correctly"
"54",71,"1","hospital","the patient did not take Corus","the patient had a different blood type"
"55",72,"3","bakery","There was no walnuts","They didn't eat it"
"56",73,"1","hospital","If the doctor had not used the cheapest drug, the patient would not have cramps.","If Dr had researched more about the drug before buying, the patient would not have cramps."
"57",74,"2","garden","If ""Flora"" was used instead of ""Splendor""","If ""Vitax"" was used instead of ""Nutrit"""
"58",75,"2","garden","If Alex did not use the new fertilizer, the Bourbon roses would not have died. He could have decided that it wasn't worth using to harm the roses and stuck with the other fertilizer instead.","If Bob had not used the Nutrit fertilizer, the China roses would not have died. He should have done more research into the new fertilizer before using. Then he could have prevented the China roses from dying."
"59",76,"1","hospital","the doctor didn't use the new drug","doctor could have done more research about the new product"
"60",77,"3","bakery","she had warned others of the contents","Anna had done her due diligence and researched the new product"
"61",78,"3","bakery","If Sandra had informed the customer that the flour used had traces of walnuts. the customer would not have had an allergic reaction.","If Anne had known that the flour contained traces of Walnuts, she could have told them and the customer would not have had an allergic reaction."
"62",79,"3","bakery","If Sandra cared about the customer and their nut allergy she would not have used the new flour and the customer would not have had an allergic reaction.","If Anne had checked on what was actually in the new brand of flour, the customer would not have had an allergic reaction."
"63",80,"2","garden","Alex did not fertilize the roses with Splendor","Bob did not fertilize the roses"
"64",81,"2","garden","Allen had not used the splendor,","Bob had not used the Nutex"
"65",82,"1","hospital","Dr. smith did not prescribe Corus","Dr. Jones read the side effects of this medication and did not prescribe it"
"66",83,"2","garden","If Alex did not use the Splendor, the Bourbon roses would not have died.","If Bob used a different fertilizer, the China roses would not have died."
"67",84,"2","garden","Alex either didn't use fertilizer or used another type of fertilizer, one without the harmful side effects","the roses had received more sunlight and water"
"68",85,"3","bakery","Sandra would have told the customer this has traces of walnut","Ann would have know it had traces of hazelnuts"
"69",86,"1","hospital","The doctor had not prescribed Corus","Dr Jones had prescribed a different medication, or simply not prescribed Afibo"
"70",87,"1","hospital","Dr. Smith gave the patient Sangun","Dr. Jones had given the patient Heparine"
"71",89,"2","garden","Alex would not have used Splendor","Bob did not give it Nutrit"
"72",90,"3","bakery","Sandra had used the nut-free flour for the cake","the bakery owner had researched the new flour more carefully"
"73",92,"3","bakery","Sandra had used a nut free flour instead","Anne had researched the flour for the allergy friendly cake"
"74",93,"2","garden","Alex had paid more attention to the fertilizer he was using and had not chosen Splendor, the Bourbon roses would not have died.","If Bob's boss had told him there was a new fertilizer which would harm the China roses, the China roses would not have died."
"75",96,"2","garden","he hadn't of used that fertilizer,","Bob had of known about the ill effect and not used it"
"76",97,"2","garden","Alex didn't use the new fertilizer","Bob used another fertilizer then "
"77",98,"3","bakery","Sandra not used harvest flour in her cakes","Anne doesn't use homestead in her cakes"
"78",99,"3","bakery","If Sandra had not used the ""Harvest"" brand of flour, the customer would not have had an allergic reaction.","If Anne had discussed not making any changes with her staff without her knowledge, the customer would not have had an allergic reaction. "
"79",100,"1","hospital","the patient didn't have b-negative blood","Afibo didn't have side effects"
"80",101,"1","hospital","the doctor would have just prescribed the patient, Sanguin","the doctor knew that the cheaper medicine caused leg cramps, the doctor would not have prescribed it and,"
"81",102,"3","bakery","the manager did not order or Sandra did use this kind of flour","the bakery manager did not order this kind of flour"
"82",103,"1","hospital","If Dr. Smith had given the old blood thinner to the patient, then the patient would not have suffered leg cramps.","I think if Dr. Jones had just gave the patient the old blood thinner, then the person would not have suffered mild leg cramps"
"83",104,"2","garden","Alex knew about the bad affects of the new fertilizer. If he had not chosen to use it, the Bourbon roses would not have died.","If Bob had not tried the new fertilizer, the China roses would not have died."
"84",105,"1","hospital","Dr. Smith took the warnings seriously","Dr Jones didn't try to save money"
"85",106,"3","bakery","she didn't use the new product ","Ana could have learned more about the new product"
"86",107,"3","bakery","the product didn't contain walnut","the customer didn't eat the food"
"87",108,"2","garden","If Alex would not have used the Splendor, the Bourbon roses would not have died.","If Bob would have been aware of the effect of Nutrix on the China roses, he would not have used it and the China roses would not have died."
"88",109,"2","garden","If Alex didn't use the new fertilizer Splendor, the Bourbon roses would not have died. He could have mentioned that to the manager and get another fertilizer. ","If Bob had known about the side effects of the new fertilizer, he wouldn't have used it. Then the China roses would not have died. "
"89",110,"1","hospital","the doctor would have given the patient an alternative drug","the doctor was informed of the side effect of the prescribed drug, he may have offered a different course and..."
"90",111,"2","garden","Alex had not used the Splendor","the Nutrit had not been ordered"
"91",112,"3","bakery","Sandra had simply used the other flour","Anne had been told that the new flour contained traces of hazelnuts "
"92",113,"1","hospital","Dr. Smith wasn't worried about leg cramps over thrombosis, she could have withheld the drug, but that may have led to death, and then the patient wouldn't need to worry about mild leg cramps!","If Dr. Jones had fully informed themselves about drug interactions, the patient would not have suffered leg cramps, she is partially to blame."
"93",114,"2","garden","Alex had not used the harmful fertilizer","someone had informed Bob about the harmfulness of the new fertilizer"
"94",115,"2","garden","Alex would not have used the Splendor fertilizer, knowing that it would harm the delicate rose plant then","Bob had knowledge the fertilizer harmed the China Rose plant, Bob would have chosen another more appropriate fertilizer to use on the China Rose and"
"95",117,"1","hospital","the doctor administered a different medicine","The leg cramps were likely a result of the medicine. It could have been prevented by administering a different medicine."
"96",118,"2","garden","Alex had refused to use the new fertilizer","they had picked the fertilizer carefully while buying it."
"97",119,"3","bakery","Sarah only used White Mill flour in cakes advertized as allergy friendly","the bakery required the use of Green Farms brand in stuff advertized as ""allergy friendly"""
"98",120,"1","hospital","Dr.smith won't give Corus to B-negative patients.Instead of Corus he suggest other medicine for B-negative patients","Dr Jones need to know about medicines thoroughly before he give it to patients.Doctors are the responsibility for the mistakes whether they are known or not."
"99",121,"3","bakery","Sandra had used the White Mill flour","Anne had known the Homestead flour had traces of hazelnuts"
"100",122,"2","garden","If Alex had continued to use Flora instead of switching to Splendor, the Bourbon roses would not have died.","If Bob had just kept ordering Vitax instead of going with the cheaper alternative Nutrit, the China roses would not have died."
"101",123,"1","hospital","If Dr. Smith administered 'Sanguin' instead of 'Corus', the patient would not have suffered leg cramps","If DR. Jones had studied the side effects of “Afibo” before administering it to the patient he would've administered ""Heparin"" instead of ""Afibo"", the patient would not have suffered leg cramps."
"102",124,"2","garden","Alex had used the Flora instead of Splendor","Bob had not used the Nutrit, but instead used Vitax"
"103",126,"1","hospital","Dr. Smith had administered Sanguin instead of Corus","Dr. Jones had done research into Afibo's side effects"
"104",127,"2","garden","Alex did not want to save money ","Bob was trying not to save money"
"105",128,"3","bakery","Sandra had not used the flour","Anne had known about the flour conatinaing nuts she would not have used it and"
"106",129,"3","bakery","Is Sandra was more honest about the ingredients of the flour to the customer or if she was less greedy and she still used the expensive flour without the traces of walnuts the customer would be safe.","If Anne had been informed better about the ingredients of the “Homestead” flour she could say something about it to the customer to keep him safe."
"107",130,"1","hospital","The doctor could have prescribed the drug that didn't cause leg cramps. It would have cost more but would have avoided this.","The doctor could have done more research on the medication before prescribing it."
"108",131,"2","garden","hadn't used Splendor","Bob had known about the negative effects of Nutrit and he wouldn't use it on China roses"
"109",132,"1","hospital","Dr. Smith used the drug ""Sanguin"" instead of ""Corus""","Dr. Jones did not administer ""Afibo"""
"110",133,"2","garden","If Alex hadn't used the Splendor fertilizer on the Bourbon roses none of the roses would have died.","If Bob had researched the effects of Nutrit on China roses before using it, he would not have used it and none of the China roses would have died."
"111",134,"3","bakery","Sandra advised the customer that the new flour contained walnuts","information about the nuts was known by the manager"
"112",135,"3","bakery","Sandra could have just used the other flour. She should have been more careful since she knew she was baking an allergy friendly cake.","Anne could have investigated the contents of the new flour before using it. If she was switching ingredients, she had a responsibility to know what was in the replacement that she was baking with."
"113",136,"2","garden","Alex did not use the Splendor fertilizer","the botanical garden did not switch fertilizers "
"114",137,"1","hospital","The doctor could have given them the more expensive medicine that would not cause leg cramps.","Someone could have notified Dr. Jones about the possibility of leg cramps or Dr. Jones could have researched more before giving the drug to people."
"115",138,"1","hospital","the doctor would have advised the patient medicine caused leg cramps then ","the doctor  would have known it caused leg cramps "
"116",139,"3","bakery","had used the flower that she knows is not contain traces of nuts","Anne had stuck to the known flour that does not have any traces of hazelnuts"
"117",140,"1","hospital","She would have presecribed the other drug the patient would not have suffered leg cramps.","He would have sticked to the normal drug, then the patient would not have suffered leg cramps."
"118",141,"2","garden","If Alex avoided the new fertilizer Splendor, the Bourbon roses would not have died.","If Bob avoided the new fertilizer Nutrit, the China roses would not have died."
"119",142,"1","hospital","He would have kept both brands","he was a better doctor he would have done more research on it and kept both brands"
"120",143,"3","bakery","Sandra had not used the new flour","Anne had been notified that the bakery switched flour brands"
"121",144,"2","garden","Alex didn't use Splendor","Bob did research on Nutrit"
"122",145,"2","garden","John had been a capable manger and conscientious employee, the Bourbon roses would not have died.","Bob had researched the new fertilizer and done his job properly, the China roses would not have died."
